date,pnl,r_multiple,instrument
2025-01-06,74.99,0.375,MNQ
2025-01-07,307.25,1.536,MNQ
2025-01-08,512.76,2.564,MNQ
2025-01-09,185.32,0.927,MNQ
2025-01-10,121.15,0.606,MNQ
2025-01-13,-133.29,-0.666,MNQ
2025-01-14,-255.50,-1.278,MNQ
2025-01-15,124.79,0.624,MNQ
2025-01-16,-312.25,-1.561,MNQ
2025-01-17,-250.73,-1.254,MNQ
2025-01-20,-210.98,-1.055,MNQ
2025-01-22,209.36,1.047,MNQ
2025-01-24,-216.01,-1.080,MNQ
2025-01-27,158.14,0.791,MNQ
2025-01-29,249.34,1.247,MNQ
2025-01-31,51.41,0.257,MNQ
2025-02-03,-255.17,-1.276,MNQ
2025-02-04,88.87,0.444,MNQ
2025-02-06,229.87,1.149,MNQ
2025-02-10,532.23,2.661,MNQ
2025-02-11,185.61,0.928,MNQ
2025-02-12,-272.71,-1.364,MNQ
2025-02-13,188.62,0.943,MNQ
2025-02-14,-171.12,-0.856,MNQ
2025-02-17,99.93,0.500,MNQ
2025-02-18,145.31,0.727,MNQ
2025-02-20,278.88,1.394,MNQ
2025-02-24,92.20,0.461,MNQ
2025-02-25,44.61,0.223,MNQ
2025-02-26,118.47,0.592,MNQ
2025-02-27,83.86,0.419,MNQ
2025-02-28,166.35,0.832,MNQ
2025-03-03,-139.64,-0.698,MNQ
2025-03-05,205.44,1.027,MNQ
2025-03-06,334.26,1.671,MNQ
2025-03-10,122.35,0.612,MNQ
2025-03-11,576.64,2.883,MNQ
2025-03-13,180.28,0.901,MNQ
2025-03-14,594.88,2.974,MNQ
2025-03-17,135.41,0.677,MNQ
2025-03-19,-137.81,-0.689,MNQ
2025-03-20,-359.65,-1.798,MNQ
2025-03-24,420.89,2.104,MNQ
2025-03-26,-107.12,-0.536,MNQ
2025-03-28,103.76,0.519,MNQ
2025-03-31,-216.01,-1.080,MNQ
2025-04-02,82.23,0.411,MNQ
2025-04-04,98.79,0.494,MNQ
2025-04-07,210.61,1.053,MNQ
2025-04-08,-240.59,-1.203,MNQ
2025-04-10,196.52,0.983,MNQ
2025-04-14,82.51,0.413,MNQ
2025-04-15,94.62,0.473,MNQ
2025-04-17,46.27,0.231,MNQ
2025-04-18,-192.15,-0.961,MNQ
2025-04-21,266.82,1.334,MNQ
2025-04-22,81.87,0.409,MNQ
2025-04-23,1007.69,5.038,MNQ
2025-04-24,-239.12,-1.196,MNQ
2025-04-28,-183.28,-0.916,MNQ
2025-04-29,337.22,1.686,MNQ
2025-05-01,-227.56,-1.138,MNQ
2025-05-02,243.29,1.216,MNQ
2025-05-05,195.03,0.975,MNQ
2025-05-06,81.54,0.408,MNQ
2025-05-08,270.70,1.353,MNQ
2025-05-12,-170.98,-0.855,MNQ
2025-05-14,739.12,3.696,MNQ
2025-05-15,-262.96,-1.315,MNQ
2025-05-19,85.94,0.430,MNQ
2025-05-21,309.48,1.547,MNQ
2025-05-22,44.34,0.222,MNQ
2025-05-26,-134.88,-0.674,MNQ
2025-05-28,190.84,0.954,MNQ
2025-05-29,273.43,1.367,MNQ
2025-06-02,-150.80,-0.754,MNQ
2025-06-03,-258.43,-1.292,MNQ
2025-06-05,154.28,0.771,MNQ
2025-06-09,190.50,0.952,MNQ
2025-06-11,368.64,1.843,MNQ
2025-06-12,-260.88,-1.304,MNQ
2025-06-16,167.28,0.836,MNQ
2025-06-17,322.17,1.611,MNQ
2025-06-19,-276.65,-1.383,MNQ
2025-06-23,400.30,2.002,MNQ
2025-06-25,104.09,0.520,MNQ
2025-06-27,171.41,0.857,MNQ
2025-06-30,134.76,0.674,MNQ
2025-07-01,39.92,0.200,MNQ
2025-07-03,78.36,0.392,MNQ
2025-07-07,-202.22,-1.011,MNQ
2025-07-09,257.70,1.289,MNQ
2025-07-11,164.45,0.822,MNQ
2025-07-14,288.67,1.443,MNQ
2025-07-15,-385.21,-1.926,MNQ
2025-07-17,738.19,3.691,MNQ
2025-07-18,-153.32,-0.767,MNQ
2025-07-21,386.21,1.931,MNQ
2025-07-22,85.17,0.426,MNQ
2025-07-23,-148.60,-0.743,MNQ
2025-07-24,414.22,2.071,MNQ
2025-07-25,-71.18,-0.356,MNQ
2025-07-28,159.03,0.795,MNQ
2025-07-30,-230.66,-1.153,MNQ
2025-07-31,-127.97,-0.640,MNQ
2025-08-04,339.03,1.695,MNQ
2025-08-05,318.06,1.590,MNQ
2025-08-07,236.38,1.182,MNQ
2025-08-08,-157.03,-0.785,MNQ
2025-08-11,102.96,0.515,MNQ
2025-08-12,-216.10,-1.080,MNQ
2025-08-14,-226.48,-1.132,MNQ
2025-08-15,305.97,1.530,MNQ
2025-08-18,-263.86,-1.319,MNQ
2025-08-19,303.19,1.516,MNQ
2025-08-20,-206.03,-1.030,MNQ
2025-08-21,-173.26,-0.866,MNQ
2025-08-25,302.09,1.510,MNQ
2025-08-26,-193.46,-0.967,MNQ
2025-08-28,-221.10,-1.106,MNQ
